Load,Stiffness
4,635.599352867976
4,620.368179413093
4,629.063920934074
4,629.261739798039
4,622.432062208063
4,640.734067398109
4,643.93438404542
4,647.979087243187
4,652.655165434158
4,620.383572000031
4,632.726288639417
4,623.499484971829
4,626.274121446631
4,626.502038493545
4,614.558359576698
4,636.233784428967
4,601.081652600978
4,634.188938403692
4,608.748494167804
4,650.693513893469
4,606.235325026713
4,628.971173052987
4,608.739291901258
4,635.988420355068
4,627.64513053144
4,627.266971413667
4,621.477492228587
4,640.526408832969
4,611.632442451736
4,644.432381816575
4,629.350309373955
4,621.962020138824
4,627.812251780565
4,644.182909513925
4,620.755403698163
4,624.339638686022
4,621.730092726016
4,641.389414827677
4,631.222977375732
4,651.191520883088
4,617.022379648939
4,646.933790405338
4,611.609662907811
4,618.918952810943
4,624.496648497025
4,628.149150309261
4,624.138237707112
4,621.938023296027
4,633.3145468432
4,616.679424156376
4,622.640062835702
4,639.028395400138
4,629.233370493121
4,621.08102021477
4,624.297062374137
4,620.924459619902
4,624.50681211881
4,634.480026569469
4,621.349426325702
4,626.736345830749
4,650.332849656519
4,608.402381424304
4,634.0725100953
4,596.783803638988
4,634.345434536085
4,624.845603216566
4,626.273230071759
4,595.521674503169
8,638.934610770394
8,646.469645262543
8,653.899174061054
8,651.979192512507
8,652.277715179922
8,660.157690207306
8,648.448602976478
8,646.986019095434
8,649.891948483519
8,652.311905817502
8,655.064593743348
8,655.976406877147
8,650.60396387056
8,651.74213719171
8,648.293767304421
8,649.53495183518
8,651.586713791228
8,644.693841082777
8,648.093417739358
8,643.237384955895
8,647.378018144542
8,659.405700160275
8,656.068026093465
8,644.801059170012
8,647.111917246182
8,649.569082272164
8,651.26311839656
8,647.301186060495
8,656.041436513529
8,649.561020269044
8,642.754721538565
8,643.290989573955
8,648.85065105319
8,652.455530589907
8,648.058228425094
8,647.536058417848
8,658.846316406548
8,658.134544545135
8,647.765771077154
8,648.277990332751
8,647.057515773792
8,647.036927676803
8,644.843711983469
8,648.144998541356
8,649.960481845984
8,639.249472167251
8,656.485198984823
8,645.532259509863
8,649.888324906061
8,655.37017682217
8,644.156950468049
8,651.037964040632
8,648.241934188445
8,647.458466571004
8,648.988621372152
8,655.282500216842
8,652.48037994557
8,652.339668553318
8,660.136937364093
8,653.768943120814
8,650.66407761056
8,652.009636969405
8,639.482474166558
8,650.319762497235
8,651.971527379069
8,652.932595138883
8,644.830648221907
8,653.705377444076
8,656.872074205451
8,652.017438850584
8,649.108513645873
8,652.920200571591
8,651.043547751694
8,650.438816643862
8,650.070084047227
8,660.483235933708
8,644.662725592224
8,662.995725106724
8,653.439720851799
8,650.199786027735
8,651.480386687599
8,641.716740514455
8,659.033958470901
8,647.489372062835
8,651.630212621196
8,650.569380397302
8,651.839491999088
8,653.055063038024
8,657.106026834085
8,658.174689420512
8,649.290865045008
8,649.61267099105
8,652.571544372544
8,647.178208190646
8,645.094560210205
8,654.233318527519
8,644.896236908499
8,652.106432729567
8,655.836326930485
8,653.134450080964
8,653.034203218331
8,653.841711600842
8,646.905235212734
8,645.952660680399
8,651.0394198004
8,656.623648016715
