Cycles,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15
1600.65625,2031.1616103936362,2053.656580973411,2103.982162299387,2212.4730365362752,2050.289688457577,1216.8022603035213,1314.8402492292753,2271.4994315127174,1936.1900136385543,1509.7754148160109,1628.7842156791073,2168.158626431848,1809.6896299906743,1904.886364705458,1833.8403745281778,2032.3097304539226
1604.75,2036.1203002825255,2058.6971160567446,2109.098568438276,2217.6500382584977,2055.6864524020216,1220.8269392479658,1319.1547154237196,2277.3045683460505,1942.9845503885542,1515.1121383437887,1634.077114456885,2174.782687292959,1814.862790657341,1910.1771301221247,1839.0514700281778,2038.366804870589
1608.84375,2040.230971155243,2062.8497263446584,2113.31040665926,2221.9410258136663,2059.767127067837,1223.7256459092162,1322.3035989519617,2281.6199150038965,1948.1130560614884,1519.234458569338,1638.0817032799275,2179.61759237637,1819.0914399440169,1914.5279674180856,1843.3992885112325,2043.506190617881
1612.9375,2040.7807609607983,2063.411421539103,2113.847096048149,2222.623654341444,2059.935000290059,1223.958210048105,1322.6182222575171,2282.3106087261185,1948.752756228155,1519.8156129860047,1638.3078235299276,2179.6943168208145,1819.645752832906,1914.9030563347521,1843.9335027334546,2044.4037166734365
1617.03125,2044.2818497592748,2066.9000120311775,2117.5320520073674,2226.175983604525,2064.8943720445222,1226.310157264941,1325.1327076833404,2288.5904026451703,1952.9275005603342,1522.9876795052414,1642.0540194412083,2185.05359373902,1823.3521358339065,1919.041107430166,1847.82914023507,2048.4365158096325
1621.125,2049.966333783416,2072.6520871083208,2123.569940044817,2231.9162192242247,2072.449419806438,1230.8786449221677,1330.002965027816,2297.929000812843,1960.2466659579663,1528.8220650720937,1648.6589939761045,2193.9495042166586,1829.251376444321,1925.5684953726761,1853.9676684686665,2054.8693610734827
1625.21875,2053.930034255638,2076.591634608321,2127.825177655928,2235.9209275297803,2077.7812784175494,1234.4908108388345,1333.7970434722602,2304.6735260072874,1965.5233927912998,1533.1998147387603,1653.656003670549,2200.5257295777697,1833.4114544165432,1930.1624658171204,1858.2620786908885,2059.248390656816
1629.3125,2054.6239280611935,2077.435350941654,2128.4563012392614,2236.670679724225,2078.480292723105,1234.9666069777234,1334.3391094444823,2304.848738618399,1966.8589927635219,1534.089147933205,1654.2641261705487,2201.232767549992,1834.1461430554318,1930.8339133726759,1859.1178715519993,2060.574559629038
1633.40625,2059.1462572347464,2082.301767803152,2133.1412866574756,2241.273432765002,2083.7528529740334,1238.4588903134554,1338.1907555232506,2310.514707721927,1973.2876924292602,1539.03225589738,1659.1959473427864,2207.501327370558,1838.8184045737698,1935.7226351660836,1864.0293253437048,2066.481505379038
1637.5,2063.8852421355623,2087.467197717895,2138.0777827929787,2246.1197772266823,2089.0527902608906,1241.9410707876011,1342.0722377113852,2316.3133253483506,1979.6318124737354,1543.9843468145855,1664.1229851931248,2213.6707455102164,1843.6483731758783,1940.7495377049415,1869.0482972131263,2072.520891747844
